MovieID,Title,Year,Genres,Language
1,"""Toy Story""",1995,Animation|Children's|Comedy,German
2,"""Jumanji""",1995,Adventure|Children's|Fantasy,Spanish
3,"""Grumpier Old Men""",1995,Comedy|Romance,English
4,"""Waiting To Exhale""",1995,Comedy|Drama,Spanish
5,"""Father Of The Bride Part Ii""",1995,Comedy,German
6,"""Heat""",1995,Action|Crime|Thriller,English
7,"""Sabrina""",1995,Comedy|Romance,German
8,"""Tom And Huck""",1995,Adventure|Children's,French
9,"""Sudden Death""",1995,Action,Spanish
10,"""Goldeneye""",1995,Action|Adventure|Thriller,Spanish
11,"""The American President""",1995,Comedy|Drama|Romance,French
12,"""Dracula: Dead And Loving It""",1995,Comedy|Horror,German
13,"""Balto""",1995,Animation|Children's,Italian
14,"""Nixon""",1995,Drama,Spanish
15,"""Cutthroat Island""",1995,Action|Adventure|Romance,Spanish
16,"""Casino""",1995,Drama|Thriller,German
17,"""Sense And Sensibility""",1995,Drama|Romance,Italian
18,"""Four Rooms""",1995,Thriller,German
19,"""Ace Ventura: When Nature Calls""",1995,Comedy,Spanish
20,"""Money Train""",1995,Action,German
21,"""Get Shorty""",1995,Action|Comedy|Drama,German
22,"""Copycat""",1995,Crime|Drama|Thriller,Italian
23,"""Assassins""",1995,Thriller,English
24,"""Powder""",1995,Drama|Sci-Fi,French
25,"""Leaving Las Vegas""",1995,Drama|Romance,French
26,"""Othello""",1995,Drama,Italian
27,"""Now And Then""",1995,Drama,Spanish
28,"""Persuasion""",1995,Romance,English
29,"""The City Of Lost Children""",1995,Adventure|Sci-Fi,Italian
30,"""Shanghai Triad (Yao A Yao Yao Dao Waipo Qiao)""",1995,Drama,English
31,"""Dangerous Minds""",1995,Drama,Spanish
32,"""Twelve Monkeys""",1995,Drama|Sci-Fi,Italian
33,"""Wings Of Courage""",1995,Adventure|Romance,English
34,"""Babe""",1995,Children's|Comedy|Drama,Italian
35,"""Carrington""",1995,Drama|Romance,Italian
36,"""Dead Man Walking""",1995,Drama,French
37,"""Across The Sea Of Time""",1995,Documentary,Italian
38,"""It Takes Two""",1995,Comedy,Italian
39,"""Clueless""",1995,Comedy|Romance,Spanish
40,"""The Beloved Country Cry""",1995,Drama,Spanish
41,"""Richard Iii""",1995,Drama|War,Italian
42,"""Dead Presidents""",1995,Action|Crime|Drama,French
43,"""Restoration""",1995,Drama,English
44,"""Mortal Kombat""",1995,Action|Adventure,Spanish
45,"""To Die For""",1995,Comedy|Drama,German
46,"""How To Make An American Quilt""",1995,Drama|Romance,German
47,"""Seven (Se7En)""",1995,Crime|Thriller,Spanish
48,"""Pocahontas""",1995,Animation|Children's|Musical|Romance,Italian
49,"""When Night Is Falling""",1995,Drama|Romance,French
50,"""The Usual Suspects""",1995,Crime|Thriller,Italian
51,"""Guardian Angel""",1994,Action|Drama|Thriller,English
52,"""Mighty Aphrodite""",1995,Comedy,German
53,"""Lamerica""",1994,Drama,Spanish
54,"""The Big Green""",1995,Children's|Comedy,French
55,"""Georgia""",1995,Drama,French
56,"""Kids Of The Round Table""",1995,Adventure|Children's|Fantasy,French
57,"""Home For The Holidays""",1995,Drama,Spanish
58,"""Il (The Postman) Postino""",1994,Drama|Romance,German
59,"""The Confessional (Le Confessionnal)""",1995,Drama|Mystery,French
60,"""The Indian In The Cupboard""",1995,Adventure|Children's|Fantasy,English
61,"""Eye For An Eye""",1996,Drama|Thriller,German
62,"""Mr. Holland'S Opus""",1995,Drama,French
63,"""Don'T Be A Menace To South Central While Drinking Your Juice In The Hood""",1996,Comedy,Italian
64,"""Two If By Sea""",1996,Comedy|Romance,French
65,"""Bio-Dome""",1996,Comedy,Spanish
66,"""Lawnmower Man 2: Beyond Cyberspace""",1996,Sci-Fi|Thriller,German
67,"""Two Bits""",1995,Drama,Spanish
68,"""French Twist (Gazon Maudit)""",1995,Comedy|Romance,French
69,"""Friday""",1995,Comedy,Spanish
70,"""From Dusk Till Dawn""",1996,Action|Comedy|Crime|Horror|Thriller,French
71,"""Fair Game""",1995,Action,Italian
72,"""Kicking And Screaming""",1995,Comedy|Drama,Spanish
73,"""Les Misã©Rables""",1995,Drama|Musical,Spanish
74,"""Bed Of Roses""",1996,Drama|Romance,Spanish
75,"""Big Bully""",1996,Comedy|Drama,German
76,"""Screamers""",1995,Sci-Fi|Thriller,English
77,"""Nico Icon""",1995,Documentary,English
78,"""The Crossing Guard""",1995,Drama,German
79,"""The Juror""",1996,Drama|Thriller,Italian
80,"""The White Balloon (Badkonake Sefid )""",1995,Drama,Italian
81,"""Things To Do In Denver When You'Re Dead""",1995,Crime|Drama|Romance,Italian
82,"""Antonia'S Line (Antonia)""",1995,Drama,English
83,"""Once Upon A Time... When We Were Colored""",1995,Drama,English
